"","slugSeason","yearSeason","isSeasonCurrent","slugPlayerSeason","slugPlayerBREF","namePlayer","slugPosition","agePlayer","slugTeamBREF","countGames","countGamesStarted","pctFG","pctFG3","pctFG2","pctEFG","pctFT","isHOFPlayer","slugTeamsBREF","idPlayerNBA","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerPhoto","urlPlayerStats","urlPlayerActionPhoto","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals","countTeamsPlayerSeasonTotals"
"1","2023-24",2023,FALSE,"achiupr01_2024","achiupr01","Precious Achiuwa","PF-C",24,"TOT",74,18,0.501,0.268,0.562,0.529,0.616,FALSE,"TOR | NYK",1630173,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630173","https://stats.nba.com/media/players/700/1630173.png",1624,235,469,26,97,209,372,69,112,191,296,487,97,46,68,83,143,565,1
"2","2023-24",2023,FALSE,"adebaba01_2024","adebaba01","Bam Adebayo","C",26,"MIA",71,71,0.521,0.357,0.528,0.529,0.755,FALSE,"MIA",1628389,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png","https://stats.nba.com/player/1628389","https://stats.nba.com/media/players/700/1628389.png",2416,530,1017,15,42,515,975,292,387,159,578,737,278,81,66,162,159,1367,1
"3","2023-24",2023,FALSE,"agbajoc01_2024","agbajoc01","Ochai Agbaji","SG",23,"TOT",78,28,0.411,0.294,0.523,0.483,0.661,FALSE,"UTA | TOR",1630534,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630534.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630534.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630534","https://stats.nba.com/media/players/700/1630534.png",1641,178,433,62,211,116,222,37,56,74,142,216,83,47,44,64,117,455,1
"4","2023-24",2023,FALSE,"aldamsa01_2024","aldamsa01","Santi Aldama","PF",23,"MEM",61,35,0.435,0.349,0.534,0.528,0.621,FALSE,"MEM",1630583,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630583.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630583.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630583","https://stats.nba.com/media/players/700/1630583.png",1618,247,568,106,304,141,264,54,87,72,280,352,138,43,54,69,89,654,1
"5","2023-24",2023,FALSE,"alexani01_2024","alexani01","Nickeil Alexander-Walker","SG",25,"MIN",82,20,0.439,0.391,0.517,0.56,0.8,FALSE,"MIN",1629638,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1629638","https://stats.nba.com/media/players/700/1629638.png",1921,236,538,131,335,105,203,52,65,35,132,167,204,64,42,76,143,655,1
"6","2023-24",2023,FALSE,"allengr01_2024","allengr01","Grayson Allen","SG",28,"PHO",75,74,0.499,0.461,0.57,0.649,0.878,FALSE,"PHO",1628960,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png","https://stats.nba.com/player/1628960","https://stats.nba.com/media/players/700/1628960.png",2513,340,682,205,445,135,237,129,147,48,247,295,227,69,45,95,157,1014,1
"7","2023-24",2023,FALSE,"allenja01_2024","allenja01","Jarrett Allen","C",25,"CLE",77,77,0.634,0,0.638,0.634,0.742,FALSE,"CLE",1628386,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png","https://stats.nba.com/player/1628386","https://stats.nba.com/media/players/700/1628386.png",2442,519,819,0,6,519,813,233,314,243,568,811,210,53,81,121,147,1271,1
"8","2023-24",2023,FALSE,"allenti01_2024","allenti01","Timmy Allen","SF",24,"MEM",5,0,0.261,0,0.375,0.261,0.5,FALSE,"MEM",1641851,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641851.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641851.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1641851","https://stats.nba.com/media/img/league/nba-headshot-fallback.png",125,6,23,0,7,6,16,1,2,4,13,17,5,4,0,2,18,13,1
"9","2023-24",2023,FALSE,"alvarjo01_2024","alvarjo01","Jose Alvarado","PG",25,"NOP",56,0,0.412,0.377,0.464,0.525,0.673,FALSE,"NOP",1630631,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630631.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630631.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630631","https://stats.nba.com/media/players/700/1630631.png",1028,142,345,78,207,64,138,35,52,25,103,128,117,59,15,40,89,397,1
"10","2023-24",2023,FALSE,"anderky01_2024","anderky01","Kyle Anderson","PF",30,"MIN",79,10,0.46,0.229,0.488,0.472,0.708,FALSE,"MIN",203937,"https://stats.nba.com/media/players/230x185/203937.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png","https://stats.nba.com/player/203937","https://stats.nba.com/media/players/700/203937.png",1782,199,433,11,48,188,385,97,137,60,213,273,331,71,47,91,128,506,1
"11","2023-24",2023,FALSE,"antetgi01_2024","antetgi01","Giannis Antetokounmpo","PF",29,"MIL",73,73,0.611,0.274,0.645,0.624,0.657,FALSE,"MIL",203507,"https://stats.nba.com/media/players/230x185/203507.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png","https://stats.nba.com/player/203507","https://stats.nba.com/media/players/700/203507.png",2567,837,1369,34,124,803,1245,514,782,196,645,841,476,87,79,250,210,2222,1
"12","2023-24",2023,FALSE,"antetth01_2024","antetth01","Thanasis Antetokounmpo","PF",31,"MIL",34,0,0.533,0,0.552,0.533,0,FALSE,"MIL",203648,"https://stats.nba.com/media/players/230x185/203648.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203648.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203648.png","https://stats.nba.com/player/203648","https://stats.nba.com/media/players/700/203648.png",155,16,30,0,1,16,29,0,2,7,6,13,17,7,4,14,24,32,1
"13","2023-24",2023,FALSE,"anthoco01_2024","anthoco01","Cole Anthony","PG",23,"ORL",81,0,0.435,0.338,0.49,0.496,0.826,FALSE,"ORL",1630175,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630175","https://stats.nba.com/media/players/700/1630175.png",1817,332,763,93,275,239,488,180,218,64,247,311,236,64,37,126,175,937,1
"14","2023-24",2023,FALSE,"anunoog01_2024","anunoog01","OG Anunoby","SF",26,"TOT",50,50,0.489,0.382,0.581,0.577,0.753,FALSE,"TOR | NYK",1628384,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png","https://stats.nba.com/player/1628384","https://stats.nba.com/media/players/700/1628384.png",1702,282,577,102,267,180,310,67,89,47,161,208,107,68,36,81,119,733,1
"15","2023-24",2023,FALSE,"arcidry01_2024","arcidry01","Ryan Arcidiacono","PG",29,"NYK",20,0,0,0,0,0,0,FALSE,"NYK",1627853,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627853.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627853.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627853.png","https://stats.nba.com/player/1627853","https://stats.nba.com/media/players/700/1627853.png",45,0,6,0,6,0,0,0,0,0,8,8,4,2,0,2,5,0,1
"16","2023-24",2023,FALSE,"avdijde01_2024","avdijde01","Deni Avdija","SF",23,"WAS",75,75,0.506,0.374,0.56,0.56,0.74,FALSE,"WAS",1630166,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630166.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630166.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630166","https://stats.nba.com/media/players/700/1630166.png",2257,406,803,88,235,318,568,202,273,84,456,540,286,60,36,160,185,1102,1
"17","2023-24",2023,FALSE,"aytonde01_2024","aytonde01","Deandre Ayton","C",25,"POR",55,55,0.57,0.1,0.576,0.571,0.823,FALSE,"POR",1629028,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png","https://stats.nba.com/player/1629028","https://stats.nba.com/media/players/700/1629028.png",1784,427,749,1,10,426,739,65,79,176,433,609,90,56,42,99,109,920,1
"18","2023-24",2023,FALSE,"azubuud01_2024","azubuud01","Udoka Azubuike","C",24,"PHO",16,0,0.696,0,0.696,0.696,0.231,FALSE,"PHO",1628962,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628962.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628962.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1628962","https://stats.nba.com/media/players/700/1628962.png",113,16,23,0,0,16,23,3,13,11,21,32,3,1,6,4,17,35,1
"19","2023-24",2023,FALSE,"badjiib01_2024","badjiib01","Ibou Badji","C",21,"POR",22,1,0.636,0,0.636,0.636,0.5,FALSE,"POR",1630641,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630641.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630641.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630641","https://stats.nba.com/media/players/700/1630641.png",226,14,22,0,0,14,22,6,12,20,31,51,13,3,20,15,46,34,1
"20","2023-24",2023,FALSE,"baglema01_2024","baglema01","Marvin Bagley III","C",24,"TOT",50,25,0.586,0.391,0.597,0.597,0.762,FALSE,"DET | WAS",1628963,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png","https://stats.nba.com/player/1628963","https://stats.nba.com/media/players/700/1628963.png",1053,239,408,9,23,230,385,96,126,130,182,312,55,20,33,59,81,583,1
"21","2023-24",2023,FALSE,"baileam01_2024","baileam01","Amari Bailey","PG",19,"CHO",10,0,0.333,0.125,0.438,0.354,0.857,FALSE,"CHO",1641735,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641735.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641735.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1641735","https://stats.nba.com/media/img/league/nba-headshot-fallback.png",65,8,24,1,8,7,16,6,7,6,3,9,7,3,0,4,2,23,1
